episode,maze_seed,total_reward,steps,success,death,correct_kills,wrong_weapon_count,hit_wall_count,epsilon
147,47,-196,119,False,True,2,0,5,0.47622912292284103
148,48,41,51,True,False,1,1,0,0.4738479773082268
149,49,-61,7,False,True,0,0,1,0.47147873742168567
150,50,-669,500,False,False,2,0,14,0.46912134373457726
151,51,-60,10,False,True,0,0,0,0.46677573701590436
152,52,-2,92,True,False,2,0,2,0.46444185833082485
153,53,-80,156,True,False,3,0,4,0.46211964903917074
154,54,-167,101,False,True,1,0,3,0.4598090507939749
155,55,-478,305,False,True,1,0,15,0.457510005540005
156,56,-194,243,True,False,3,0,6,0.45522245551230495
157,57,-50,1,False,True,0,0,0,0.4529463432347434
158,58,-55,5,False,True,0,0,0,0.4506816115185697
159,59,-6,95,True,False,2,0,2,0.4484282034609769
160,60,47,63,True,False,3,1,2,0.446186062443672
161,61,67,23,True,False,0,0,1,0.4439551321314536
162,62,-466,300,False,True,1,0,9,0.4417353564707963
163,63,-70,129,True,False,1,0,4,0.43952667968844233
164,64,-97,35,False,True,1,1,3,0.43732904629000013
165,65,-74,28,False,True,1,0,0,0.4351424010585501
166,66,-110,52,False,True,1,0,3,0.43296668905325736
167,67,70,44,True,False,2,0,0,0.43080185560799106
168,68,80,19,True,False,0,0,0,0.4286478463299511
169,69,-59,8,False,True,0,0,0,0.42650460709830135
170,70,-171,216,True,False,2,0,7,0.42437208406280985
171,71,-88,31,False,True,1,1,2,0.4222502236424958
172,72,47,57,True,False,2,0,1,0.42013897252428334
173,73,-184,106,False,True,2,0,6,0.4180382776616619
174,74,86,36,True,False,3,0,2,0.4159480862733536
175,75,48,50,True,False,1,0,0,0.41386834584198684
176,76,5,69,True,False,1,0,5,0.4117990041127769
177,77,-306,189,False,True,1,0,7,0.40974000909221303
178,78,-41,91,True,False,0,0,7,0.40769130904675194
179,79,4,92,True,False,2,0,2,0.40565285250151817
180,80,-217,241,True,False,3,0,15,0.4036245882390106
181,81,98,23,True,False,2,0,0,0.4016064652978155
182,82,21,77,True,False,2,0,1,0.3995984329713264
183,83,-378,239,False,True,2,0,11,0.3976004408064698
184,84,-203,128,False,True,2,0,5,0.39561243860243744
185,85,-32,127,True,False,3,0,4,0.3936343764094253
186,86,-52,12,False,True,1,0,0,0.39166620452737816
187,87,-533,456,True,False,3,0,23,0.3897078735047413
188,88,96,24,True,False,2,0,0,0.3877593341372176
189,89,-177,92,False,True,0,0,1,0.3858205374665315
190,90,-129,68,False,True,0,0,0,0.38389143477919885
191,91,-283,292,True,False,3,0,13,0.3819719776053028
192,92,90,26,True,False,2,0,0,0.3800621177172763
193,93,-555,371,False,True,1,0,12,0.37816180712868996
194,94,43,53,True,False,1,0,1,0.37627099809304654
195,95,-121,175,True,False,2,0,7,0.3743896431025813
196,96,82,25,True,False,1,0,0,0.37251769488706843
197,97,68,32,True,False,1,0,0,0.3706551064126331
198,98,-125,55,False,True,0,0,1,0.36880183088056995
199,99,-201,125,False,True,2,0,5,0.3669578217261671
200,0,45,64,True,False,3,0,1,0.36512303261753626
201,1,-79,15,False,True,0,0,3,0.3632974174544486
202,2,87,27,True,False,2,0,1,0.3614809303671764
203,3,-50,1,False,True,0,0,0,0.3596735257153405
204,4,77,30,True,False,2,0,3,0.3578751580867638
205,5,51,45,True,False,1,1,0,0.35608578229633
206,6,-120,66,False,True,1,0,1,0.3543053533848483
207,7,-183,93,False,True,0,0,3,0.35253382661792404
208,8,65,40,True,False,2,1,2,0.3507711574848344
209,9,-356,340,True,False,2,0,12,0.34901730169741024
210,10,-533,474,True,False,3,0,17,0.3472722151889232
211,11,-25,114,True,False,3,2,3,0.3455358541129786
212,12,-487,463,True,False,3,0,13,0.3438081748424137
213,13,61,43,True,False,1,0,1,0.3420891339682016
214,14,92,28,True,False,2,0,0,0.3403786882983606
215,15,-66,26,False,True,2,0,2,0.3386767948568688
216,16,-123,58,False,True,1,0,2,0.33698341088258443
217,17,-56,118,True,False,1,0,4,0.3352984938281715
218,18,14,89,True,False,3,0,4,0.33362200135903064
219,19,7,91,True,False,3,0,3,0.33195389135223546
220,20,-309,190,False,True,2,0,12,0.3302941218954743
221,21,-164,93,False,True,1,0,2,0.32864265128599696
222,22,-42,123,True,False,2,0,4,0.326999438029567
223,23,-70,33,False,True,2,0,2,0.3253644408394192
224,24,69,47,True,False,3,1,0,0.3237376186352221
225,25,70,45,True,False,3,0,2,0.322118930542046
226,26,-27,113,True,False,2,0,3,0.32050833588933575
227,27,80,18,True,False,0,0,0,0.31890579420988907
228,28,20,85,True,False,3,0,2,0.3173112652388396
229,29,27,88,True,False,3,0,1,0.3157247089126454
230,30,-33,119,True,False,2,0,3,0.3141460853680822
231,31,-26,111,True,False,3,0,6,0.3125753549412418
232,32,44,67,True,False,3,1,1,0.31101247816653554
233,33,61,47,True,False,2,0,1,0.30945741577570285
234,34,-51,12,False,True,1,0,0,0.3079101286968243
235,35,-158,89,False,True,1,0,3,0.3063705780533402
236,36,81,34,True,False,2,0,1,0.30483872516307353
237,37,5,76,True,False,1,0,3,0.3033145315372582
238,38,-75,20,False,True,0,0,0,0.3017979588795719
239,39,80,38,True,False,2,0,0,0.30028896908517405
240,40,45,52,True,False,1,1,0,0.2987875242397482
