episode,maze_seed,total_reward,steps,success,death,correct_kills,wrong_weapon_count,hit_wall_count,epsilon
333,33,94,27,True,False,2,0,0,0.18746015382974018
334,34,-60,162,True,False,2,0,2,0.1865228530605915
335,35,12,81,True,False,2,0,4,0.18559023879528855
336,36,46,67,True,False,2,0,2,0.1846622876013121
337,37,40,59,True,False,1,0,0,0.18373897616330553
338,38,-62,22,False,True,1,0,0,0.182820281282489
339,39,102,20,True,False,2,0,0,0.18190617987607657
340,40,55,39,True,False,1,1,2,0.18099664897669618
341,41,77,37,True,False,2,0,1,0.1800916657318127
342,42,67,58,True,False,3,0,1,0.17919120740315364
343,43,94,27,True,False,2,0,0,0.17829525136613786
344,44,82,25,True,False,1,0,0,0.17740377510930716
345,45,92,18,True,False,1,0,0,0.17651675623376062
346,46,69,55,True,False,3,0,1,0.1756341724525918
347,47,118,15,True,False,3,0,0,0.17475600159032884
348,48,92,17,True,False,1,0,0,0.17388222158237718
349,49,-577,500,False,False,1,0,5,0.1730128104744653
350,50,100,32,True,False,3,0,0,0.17214774642209296
351,51,-70,170,True,False,3,0,2,0.1712870076899825
352,52,-71,20,False,True,0,0,0,0.17043057265153258
353,53,104,29,True,False,3,0,0,0.16957841978827493
354,54,-223,307,True,False,3,0,5,0.16873052768933355
355,55,-55,6,False,True,0,0,0,0.1678868750508869
356,56,-108,205,True,False,3,0,2,0.16704744067563246
357,57,110,13,True,False,2,0,0,0.1662122034722543
358,58,64,51,True,False,2,0,0,0.16538114245489302
359,59,104,19,True,False,2,0,0,0.16455423674261854
360,60,1,118,True,False,3,0,1,0.16373146555890544
361,61,86,14,True,False,0,0,0,0.16291280823111093
362,62,106,27,True,False,3,0,0,0.16209824418995536
363,63,-57,8,False,True,0,0,0,0.16128775296900558
364,64,-50,1,False,True,0,0,0,0.16048131420416054
365,65,77,47,True,False,3,0,1,0.15967890763313974
366,66,-67,25,False,True,1,0,0,0.15888051309497406
367,67,101,18,True,False,2,0,1,0.1580861105294992
368,68,86,14,True,False,0,0,0,0.1572956799768517
369,69,98,23,True,False,2,0,0,0.15650920157696743
370,70,69,46,True,False,2,0,1,0.1557266555690826
371,71,-66,168,True,False,3,1,3,0.1549480222912372
372,72,101,18,True,False,2,0,1,0.15417328217978102
373,73,104,28,True,False,3,0,0,0.1534024157688821
374,74,112,21,True,False,3,0,0,0.1526354036900377
375,75,94,16,True,False,1,0,0,0.1518722266715875
376,76,66,38,True,False,1,0,0,0.15111286553822956
377,77,92,30,True,False,2,0,0,0.15035730121053842
378,78,78,22,True,False,0,0,0,0.14960551470448571
379,79,104,17,True,False,2,0,0,0.14885748713096328
380,80,96,35,True,False,3,0,0,0.14811319969530845
381,81,99,20,True,False,2,0,1,0.1473726336968319
382,82,108,15,True,False,2,0,0,0.14663577052834775
383,83,96,30,True,False,3,0,2,0.14590259167570602
384,84,106,28,True,False,3,0,0,0.1451730787173275
385,85,104,29,True,False,3,0,0,0.14444721332374086
386,86,104,28,True,False,3,0,0,0.14372497725712216
387,87,-568,500,False,False,3,0,8,0.14300635237083656
388,88,47,66,True,False,2,0,1,0.14229132060898236
389,89,96,16,True,False,1,0,0,0.14157986400593744
390,90,96,16,True,False,1,0,0,0.14087196468590776
391,91,-550,500,False,False,2,0,6,0.14016760486247823
392,92,99,18,True,False,2,0,1,0.13946676683816583
393,93,-600,500,False,False,1,0,5,0.138769433003975
394,94,94,16,True,False,1,0,0,0.13807558583895513
395,95,-65,24,False,True,1,0,0,0.13738520790976036
396,96,89,19,True,False,1,0,1,0.13669828187021155
397,97,92,20,True,False,1,0,0,0.13601479046086049
398,98,87,19,True,False,1,0,1,0.1353347165085562
399,99,76,32,True,False,1,0,0,0.1346580429260134
400,0,116,17,True,False,3,0,0,0.13398475271138335
401,1,76,55,True,False,3,0,0,0.13331482894782642
402,2,110,13,True,False,2,0,0,0.13264825480308728
403,3,87,20,True,False,1,1,0,0.13198501352907185
404,4,106,16,True,False,2,0,0,0.1313250884614265
405,5,86,23,True,False,1,0,0,0.13066846301911936
406,6,73,53,True,False,3,0,1,0.13001512070402377
407,7,92,19,True,False,1,0,0,0.12936504510050365
408,8,100,22,True,False,2,0,0,0.12871821987500112
409,9,96,25,True,False,2,0,0,0.12807462877562611
410,10,110,24,True,False,3,0,0,0.12743425563174798
411,11,-26,141,True,False,3,1,1,0.12679708435358925
412,12,-535,500,False,False,2,0,4,0.1261630989318213
413,13,94,16,True,False,1,0,0,0.1255322834371622
414,14,108,15,True,False,2,0,0,0.12490462201997637
415,15,114,18,True,False,3,0,0,0.1242800989098765
416,16,100,21,True,False,2,0,0,0.12365869841532712
417,17,100,12,True,False,1,0,0,0.12304040492325048
418,18,104,28,True,False,3,0,0,0.12242520289863423
419,19,80,47,True,False,3,0,0,0.12181307688414106
420,20,106,26,True,False,3,0,0,0.12120401149972035
421,21,106,28,True,False,3,0,0,0.12059799144222175
422,22,-26,135,True,False,2,0,2,0.11999500148501063
423,23,-542,500,False,False,3,0,8,0.11939502647758558
424,24,-59,10,False,True,0,0,0,0.11879805134519765
425,25,86,42,True,False,3,0,0,0.11820406108847166
426,26,80,39,True,False,2,0,0,0.1176130407830293
427,27,84,16,True,False,0,0,0,0.11702497557911415
428,28,96,36,True,False,3,0,0,0.11643985070121858
429,29,80,54,True,False,3,0,0,0.11585765144771248
430,30,108,15,True,False,2,0,0,0.11527836319047392
431,31,104,28,True,False,3,0,0,0.11470197137452155
432,32,88,44,True,False,3,0,0,0.11412846151764894
433,33,102,21,True,False,2,0,0,0.1135578192100607
434,34,91,25,True,False,2,0,1,0.11299003011401039
435,35,98,23,True,False,2,0,0,0.11242507996344034
436,36,57,60,True,False,2,0,1,0.11186295456362313
437,37,96,16,True,False,1,0,0,0.11130363979080501
438,38,108,26,True,False,3,0,0,0.11074712159185099
439,39,108,15,True,False,2,0,0,0.11019338598389174
440,40,96,16,True,False,1,0,0,0.10964241905397228
441,41,100,23,True,False,2,0,0,0.10909420695870241
442,42,110,22,True,False,3,0,0,0.1085487359239089
443,43,93,24,True,False,2,0,1,0.10800599224428936
444,44,94,17,True,False,1,0,0,0.10746596228306791
445,45,96,16,True,False,1,0,0,0.10692863247165257
446,46,97,32,True,False,3,0,1,0.1063939893092943
447,47,120,14,True,False,3,0,0,0.10586201936274783
448,48,96,16,True,False,1,0,0,0.10533270926593409
449,49,51,78,True,False,3,0,1,0.10480604571960442
450,50,-53,14,False,True,1,0,0,0.1042820154910064
451,51,-551,500,False,False,2,0,10,0.10376060541355137
452,52,97,22,True,False,2,0,1,0.1032418023864836
453,53,-139,238,True,False,3,0,3,0.10272559337455119
454,54,-53,4,False,True,0,0,0,0.10221196540767843
455,55,-286,346,True,False,2,0,4,0.10170090558064004
456,56,104,30,True,False,3,0,0,0.10119240105273684
457,57,110,13,True,False,2,0,0,0.10068643904747315
458,58,-583,500,False,False,1,0,5,0.10018300685223579
459,59,-148,220,True,False,2,0,4,0.0996820918179746
460,60,16,90,True,False,3,0,2,0.09918368135888474
461,61,74,23,True,False,0,0,0,0.09868776295209031
462,62,102,29,True,False,3,0,0,0.09819432413732986
463,63,91,16,True,False,1,0,1,0.09770335251664321
464,64,45,71,True,False,3,0,1,0.09721483575406
465,65,-3,123,True,False,3,0,1,0.09672876157528969
466,66,12,103,True,False,3,0,0,0.09624511776741324
467,67,104,18,True,False,2,0,0,0.09576389217857617
468,68,84,15,True,False,0,0,0,0.09528507271768329
469,69,48,65,True,False,2,0,0,0.09480864735409487
470,70,89,27,True,False,2,0,1,0.0943346041173244
471,71,-512,500,False,False,3,0,3,0.09386293109673778
472,72,88,32,True,False,2,0,0,0.09339361644125409
473,73,38,82,True,False,3,0,0,0.09292664835904782
474,74,118,16,True,False,3,0,0,0.09246201511725258
475,75,98,13,True,False,1,0,0,0.09199970504166631
476,76,82,27,True,False,1,0,0,0.09153970651645797
477,77,-62,159,True,False,2,0,0,0.09108200798387568
478,78,59,32,True,False,0,0,1,0.0906265979439563
479,79,98,23,True,False,2,0,0,0.09017346495423652
480,80,83,45,True,False,3,0,1,0.08972259762946533
481,81,108,15,True,False,2,0,0,0.089273984641318
482,82,108,15,True,False,2,0,0,0.0888276147181114
483,83,76,53,True,False,3,0,0,0.08838347664452084
484,84,98,34,True,False,3,0,0,0.08794155926129824
485,85,108,26,True,False,3,0,0,0.08750185146499175
486,86,-589,500,False,False,2,0,4,0.08706434220766679
487,87,38,88,True,False,3,0,0,0.08662902049662846
488,88,102,20,True,False,2,0,0,0.08619587539414532
489,89,94,18,True,False,1,0,0,0.08576489601717459
490,90,43,55,True,False,1,0,1,0.08533607153708872
491,91,-98,221,True,False,3,0,0,0.08490939117940327
492,92,-42,4,False,True,1,0,0,0.08448484422350626
493,93,-178,141,False,True,2,0,1,0.08406242000238873
494,94,100,12,True,False,1,0,0,0.08364210790237678
495,95,106,16,True,False,2,0,0,0.0832238973628649
496,96,92,20,True,False,1,0,0,0.08280777787605056
497,97,34,64,True,False,1,0,0,0.08239373898667031
498,98,96,16,True,False,1,0,0,0.08198177029173696
499,99,90,22,True,False,1,0,0,0.08157186144027828
500,0,116,18,True,False,3,0,0,0.0811640021330769
501,1,92,38,True,False,3,0,0,0.08075818212241151
502,2,110,13,True,False,2,0,0,0.08035439121179945
503,3,90,20,True,False,1,0,0,0.07995261925574046
504,4,106,16,True,False,2,0,0,0.07955285615946175
